url_path,views_total,views_unique
/peff74/PIR_YX-358A,34,17
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,22,9
/peff74/PIR_YX-358A/blob/main/README.md,19,7
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,14,6
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,12,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,12,2
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,11,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1.jpg,11,3
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,10,2
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,9,3
