referrer,views_total,views_unique
ya.ru,39,1
Google,11,3
yandex.ru,9,4
farmsoft.jp,8,2
Yahoo,4,1
yandex.by,2,1
yandex.com,2,1
Bing,1,1
github.com,1,1
yandex.uz,1,1
