url_path,views_total,views_unique
/peff74/PIR_YX-358A,25,12
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,11,5
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,4,2
/peff74/PIR_YX-358A/tree/github-repo-stats,3,1
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,2,2
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,2,1
/peff74/PIR_YX-358A/blob/github-repo-stats/peff74/PIR_YX-358A/latest-report/report.md,1,1
/peff74/PIR_YX-358A/blob/main/MOD_1.jpg,1,1
/peff74/PIR_YX-358A/blob/main/MOD_2.jpg,1,1
/peff74/PIR_YX-358A/blob/main/PIR_2.jpg,1,1
