url_path,views_total,views_unique
/peff74/PIR_YX-358A,19,14
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,11,3
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,10,4
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,7,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1.jpg,7,3
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,6,4
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,6,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2(low).jpg,5,3
/peff74/PIR_YX-358A/blob/main/SP015A（rev2.1）.pdf,5,2
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2.jpg,4,3
