time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,12,8,14,2
2026-03-29 00:00:00+00:00,8,4,4,2
2026-03-30 00:00:00+00:00,9,5,22,3
2026-03-31 00:00:00+00:00,8,6,1,1
2026-04-01 00:00:00+00:00,19,9,2,2
2026-04-02 00:00:00+00:00,12,8,3,2
2026-04-03 00:00:00+00:00,24,10,1,1
2026-04-04 00:00:00+00:00,2,2,9,1
2026-04-05 00:00:00+00:00,8,4,0,0
2026-04-06 00:00:00+00:00,10,6,7,5
2026-04-07 00:00:00+00:00,12,5,21,2
2026-04-08 00:00:00+00:00,25,10,4,4
2026-04-09 00:00:00+00:00,16,5,0,0
2026-04-10 00:00:00+00:00,8,7,0,0
