url_path,views_total,views_unique
/peff74/PIR_YX-358A,34,13
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,7,3
/peff74/PIR_YX-358A/blob/main/MOD_1.jpg,5,3
/peff74/PIR_YX-358A/blob/main/MOD_2.jpg,4,2
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,3,2
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,3,2
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,2,2
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,2,2
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,2,1
/peff74/PIR_YX-358A/commit/08904fd646b1d02c5ddf95222045d7c4c0b78a4d,2,1
