time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-26 00:00:00+00:00,3,2,9,3
2025-04-27 00:00:00+00:00,4,2,29,4
2025-04-28 00:00:00+00:00,1,1,5,1
2025-04-29 00:00:00+00:00,1,1,1,1
2025-04-30 00:00:00+00:00,4,2,2,1
2025-05-01 00:00:00+00:00,3,2,37,1
2025-05-02 00:00:00+00:00,3,2,1,1
2025-05-03 00:00:00+00:00,1,1,6,1
2025-05-04 00:00:00+00:00,1,1,1,1
2025-05-05 00:00:00+00:00,1,1,9,1
2025-05-06 00:00:00+00:00,1,1,2,1
2025-05-07 00:00:00+00:00,1,1,8,3
2025-05-08 00:00:00+00:00,1,1,22,2
2025-05-09 00:00:00+00:00,2,1,2,2
