url_path,views_total,views_unique
/peff74/PIR_YX-358A,21,13
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,21,8
/peff74/PIR_YX-358A/blob/main/README.md,15,6
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,11,4
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,10,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,10,2
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,9,6
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,8,4
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,8,3
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,8,3
