url_path,views_total,views_unique
/peff74/PIR_YX-358A,36,19
/peff74/PIR_YX-358A/blob/main/README.md,26,9
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,20,9
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,16,6
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,11,2
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,11,1
/peff74/PIR_YX-358A/blob/main/MOD_1.jpg,10,2
/peff74/PIR_YX-358A/blob/main/PIR_2.jpg,9,3
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,9,2
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,9,1
