time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-14 00:00:00+00:00,7,3,8,2
2026-01-15 00:00:00+00:00,5,5,1,1
2026-01-16 00:00:00+00:00,7,3,11,7
2026-01-17 00:00:00+00:00,7,3,33,4
2026-01-18 00:00:00+00:00,14,6,0,0
2026-01-19 00:00:00+00:00,15,5,18,2
2026-01-20 00:00:00+00:00,10,4,11,5
2026-01-21 00:00:00+00:00,11,5,7,4
2026-01-22 00:00:00+00:00,16,6,6,2
2026-01-23 00:00:00+00:00,18,6,0,0
2026-01-24 00:00:00+00:00,18,6,1,1
2026-01-25 00:00:00+00:00,6,4,0,0
2026-01-26 00:00:00+00:00,16,6,1,1
2026-01-27 00:00:00+00:00,20,10,44,1
