url_path,views_total,views_unique
/peff74/PIR_YX-358A,33,22
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,13,7
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,9,7
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,7,6
/peff74/PIR_YX-358A/blob/main/SP015A%EF%BC%88rev2.1%EF%BC%89.pdf,7,6
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,7,5
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,6,5
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,5,5
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,5,5
/peff74/PIR_YX-358A/blob/main/timing.png,5,5
