time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,10,4,11,5
2026-01-21 00:00:00+00:00,11,5,7,4
2026-01-22 00:00:00+00:00,16,6,6,2
2026-01-23 00:00:00+00:00,18,6,0,0
2026-01-24 00:00:00+00:00,18,6,1,1
2026-01-25 00:00:00+00:00,6,4,0,0
2026-01-26 00:00:00+00:00,16,6,1,1
2026-01-27 00:00:00+00:00,20,10,44,1
2026-01-28 00:00:00+00:00,12,6,3,1
2026-01-29 00:00:00+00:00,6,4,12,3
2026-01-30 00:00:00+00:00,11,5,2,2
2026-01-31 00:00:00+00:00,5,3,23,2
2026-02-01 00:00:00+00:00,8,6,19,8
2026-02-02 00:00:00+00:00,24,10,7,4
