url_path,views_total,views_unique
/peff74/PIR_YX-358A,18,13
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,10,3
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,8,4
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,8,2
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,7,4
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,6,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1.jpg,5,2
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2(low).jpg,5,2
/peff74/PIR_YX-358A/blob/main/PIR_otherVersion.jpg,5,2
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2.jpg,4,2
