url_path,views_total,views_unique
/peff74/PIR_YX-358A,20,14
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,9,2
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,7,4
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,7,4
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,7,1
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,4,2
/peff74/PIR_YX-358A/blob/main/PIR_otherVersion.jpg,4,1
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1.jpg,3,1
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2(low).jpg,3,1
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2.jpg,3,1
