time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,2,2,5,2
2026-08-11 00:00:00+00:00,13,4,18,1
2026-08-12 00:00:00+00:00,13,5,1,1
2026-08-13 00:00:00+00:00,11,4,2,2
2026-08-14 00:00:00+00:00,2,2,2,2
2026-08-15 00:00:00+00:00,1,1,2,2
2026-08-16 00:00:00+00:00,1,1,1,1
2026-08-17 00:00:00+00:00,1,1,7,3
2026-08-18 00:00:00+00:00,1,1,1,1
2026-08-19 00:00:00+00:00,14,5,2,1
2026-08-20 00:00:00+00:00,11,5,33,2
2026-08-21 00:00:00+00:00,8,4,6,1
2026-08-22 00:00:00+00:00,10,4,1,1
2026-08-23 00:00:00+00:00,4,2,5,3
