time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,2,2,0,0
2026-07-01 00:00:00+00:00,7,2,0,0
2026-07-02 00:00:00+00:00,15,6,1,1
2026-07-03 00:00:00+00:00,3,3,1,1
2026-07-04 00:00:00+00:00,22,7,6,2
2026-07-05 00:00:00+00:00,10,6,4,3
2026-07-06 00:00:00+00:00,10,5,1,1
2026-07-07 00:00:00+00:00,14,7,1,1
2026-07-08 00:00:00+00:00,4,2,0,0
2026-07-09 00:00:00+00:00,15,6,3,1
2026-07-10 00:00:00+00:00,9,4,4,3
2026-07-11 00:00:00+00:00,1,1,3,3
2026-07-12 00:00:00+00:00,12,3,0,0
2026-07-13 00:00:00+00:00,3,3,1,1
