time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-04 00:00:00+00:00,12,6,71,4
2026-02-05 00:00:00+00:00,14,8,83,5
2026-02-06 00:00:00+00:00,10,4,4,3
2026-02-07 00:00:00+00:00,10,4,3,3
2026-02-08 00:00:00+00:00,12,6,3,3
2026-02-09 00:00:00+00:00,17,7,3,3
2026-02-10 00:00:00+00:00,15,9,3,3
2026-02-11 00:00:00+00:00,16,6,5,2
2026-02-12 00:00:00+00:00,15,9,13,3
2026-02-13 00:00:00+00:00,19,9,2,2
2026-02-14 00:00:00+00:00,2,2,15,6
2026-02-15 00:00:00+00:00,15,7,15,2
2026-02-16 00:00:00+00:00,6,4,8,2
2026-02-17 00:00:00+00:00,7,5,0,0
