time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,12,5,21,2
2026-04-08 00:00:00+00:00,25,10,4,4
2026-04-09 00:00:00+00:00,16,5,0,0
2026-04-10 00:00:00+00:00,8,7,0,0
2026-04-11 00:00:00+00:00,14,7,1,1
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,8,5,4,1
2026-04-14 00:00:00+00:00,12,6,0,0
2026-04-15 00:00:00+00:00,2,2,3,3
2026-04-16 00:00:00+00:00,35,11,2,2
2026-04-17 00:00:00+00:00,11,5,4,2
2026-04-18 00:00:00+00:00,12,6,0,0
2026-04-19 00:00:00+00:00,19,10,2,2
2026-04-20 00:00:00+00:00,32,12,1,1
