url_path,views_total,views_unique
/peff74/PIR_YX-358A,35,20
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,9,4
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,8,6
/peff74/PIR_YX-358A/blob/main/SP015A%EF%BC%88rev2.1%EF%BC%89.pdf,6,5
/peff74/PIR_YX-358A/blob/main/PIR_otherVersion.jpg,5,4
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,4,4
/peff74/PIR_YX-358A/tree/main/.github/workflows,4,4
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,4,3
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,3,3
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,3,3
