time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,8,5,4,1
2026-04-14 00:00:00+00:00,12,6,0,0
2026-04-15 00:00:00+00:00,2,2,3,3
2026-04-16 00:00:00+00:00,35,11,2,2
2026-04-17 00:00:00+00:00,11,5,4,2
2026-04-18 00:00:00+00:00,12,6,0,0
2026-04-19 00:00:00+00:00,19,10,2,2
2026-04-20 00:00:00+00:00,32,12,1,1
2026-04-21 00:00:00+00:00,74,27,1,1
2026-04-22 00:00:00+00:00,84,30,0,0
2026-04-23 00:00:00+00:00,54,20,0,0
2026-04-24 00:00:00+00:00,60,24,1,1
2026-04-25 00:00:00+00:00,64,21,13,2
2026-04-26 00:00:00+00:00,7,2,1,1
