url_path,views_total,views_unique
/peff74/PIR_YX-358A,21,11
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,18,6
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,15,6
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,14,4
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,12,4
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,10,4
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,9,4
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1.jpg,9,4
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,8,4
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_2(low).jpg,8,4
