url_path,views_total,views_unique
/peff74/PIR_YX-358A,16,8
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,6,5
/peff74/PIR_YX-358A/blob/main/README.md,6,2
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,5,4
/peff74/PIR_YX-358A/blob/main/MOD_1.jpg,5,3
/peff74/PIR_YX-358A/blob/main/SP015A%EF%BC%88rev2.1%EF%BC%89.pdf,5,3
/peff74/PIR_YX-358A/blob/main/timing.png,4,3
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,3,3
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,3,3
/peff74/PIR_YX-358A/blob/main/PIR_2.jpg,3,3
