url_path,views_total,views_unique
/peff74/PIR_YX-358A,34,19
/peff74/PIR_YX-358A/blob/main/README.md,24,6
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,17,5
/peff74/PIR_YX-358A/blob/main/MOD_1.jpg,12,4
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,12,2
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,11,4
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,11,1
/peff74/PIR_YX-358A/blob/main/PIR_2.jpg,10,3
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,10,2
/peff74/PIR_YX-358A/blob/main/SP015A（rev2.1）.pdf,9,4
