url_path,views_total,views_unique
/peff74/PIR_YX-358A,19,10
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,8,5
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,6,4
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,4,2
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_3.jpg,3,3
/peff74/PIR_YX-358A/tree/main,3,3
/peff74/PIR_YX-358A/blob/main/README.md,3,2
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,3,2
/peff74/PIR_YX-358A/blob/main/SP015A%EF%BC%88rev2.1%EF%BC%89.pdf,3,1
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,2,2
